"","G2.P2.G2P4R6.brain","H2.P2.G1P3P5.brain","B3.P2.O2P4P5.brain","C3.P2.O1R4G5.brain","E3.P2.G2R4P6.brain","G3.P2.G2G4R5.brain","H3.P2.O3O4R6.brain","C4.P2.R1G2R5.brain","D4.P2.O1P2R4.brain","E4.P2.R2R5G6.brain","H4.P2.G2G3O4.brain","A5.P2.R3O5G6.brain","B5.P2.G2P3O6.brain","C5.P2.G3O4G6.brain","G5.P2.R1G3O5.brain","H5.P2.O1R2G6.brain","A6.P2.G1G2G6.brain","D6.P2.G3P4O5.brain","F6.P2.O2O3G6.brain","G6.P2.R1R4R6.brain","C7.P2.G2O3O4.brain","E7.P2.O1G2P3.brain","F7.P2.P3O5R6.brain","G7.P2.O1P5R6.brain","H7.P2.O2P3O6.brain","B8.P2.P3R4G6.brain","D8.P2.R3P5G6.brain","A9.P2.P1G4G5.brain","B9.P2.O2R5R6.brain","E9.P2.G4G5R6.brain","H9.P2.R1O2P4.brain","B10.P2.G1O5P6.brain","C10.P2.R2O3O5.brain","D10.P2.R3O5O6.brain","F10.P2.R2P5P6.brain","G10.P2.R1O2P6.brain","B11.P2.G1R2P5.brain","C11.P2.P2G3P6.brain","D11.P2.G1R4P6.brain","F11.P2.G1O3R6.brain","G11.P2.R1P2O5.brain","H11.P2.P3O5O6.brain","A12.P2.R3R5R6.brain","D12.P2.R3G5O6.brain","G12.P2.P3O4R6.brain"
"LOC105922257",94,88,55,31,0,132,5,115,179,113,0,1,2,36,31,1,43,0,87,0,7,28,1,0,0,0,146,1,1,10,1,1,0,112,0,1,1,5,1,0,38,53,97,0,22
"LOC105922260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922262",13,0,0,0,0,115,0,1,1,1,56,1,0,202,89,59,1,0,66,0,121,21,0,1,123,0,0,133,42,0,0,38,29,53,0,0,0,1,1,0,1,86,0,13,0
"LOC105922266",79,0,52,0,0,100,0,2,1,2,0,24,0,0,0,1,0,0,1,12,0,0,0,1,0,0,0,0,108,136,0,0,1,0,0,62,1,0,0,0,0,0,0,0,0
"LOC105922269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922272",93,1,5,0,0,310,0,324,2,6,31,0,1,0,2,3,39,0,216,0,2,0,2,4,0,31,0,0,5,6,33,187,0,0,230,3,2,1,5,59,45,4,140,1,1
"LOC105922275",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LOC105922277",0,0,0,0,0,0,0,0,0,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922281",105,94,82,154,415,53,305,119,115,17,88,108,301,54,151,217,166,681,240,2,68,385,30,24,351,84,107,449,1091,0,264,338,244,289,83,214,55,127,82,56,54,41,115,221,349
"LOC105922282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0
"LOC105922289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922291",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922309",0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,169,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"LOC105922311",0,0,1,0,0,227,17,96,4,149,189,0,0,0,92,153,0,0,0,0,0,0,0,0,242,85,216,1,0,0,0,122,107,0,12,13,0,0,114,0,0,1,71,2,0
"LOC105922312",0,116,10,0,42,217,1,3,1,206,56,1,2,4,55,3,6,6,330,79,20,1,62,13,53,3,119,64,10,1,0,3,0,0,0,7,45,3,0,75,4,1,4,2,128
"LOC105922316",0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0
"LOC105922318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922320",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922321",0,0,0,0,5,22,1,0,0,1,0,0,0,0,0,0,0,0,240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"LOC105922322",202,37,305,237,4,349,99,459,38,363,63,163,19,167,146,374,256,60,87,0,35,250,338,249,294,0,13,92,719,382,50,505,252,162,37,133,207,6,159,138,603,240,462,2,202
"LOC105922324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922327",80,0,0,0,0,0,28,1,0,43,154,0,3,56,29,17,0,0,0,4,0,300,0,0,0,0,0,35,0,83,0,0,0,1,1,23,0,0,33,11,93,0,166,3,13
"LOC105922335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0
"LOC105922340",0,0,0,0,0,0,0,4,0,0,0,1,6,1,0,0,0,0,55,0,42,0,0,0,0,1,0,156,11,0,0,0,0,0,0,11,0,1,0,15,1,38,0,1,0
"LOC105922342",292,0,0,0,136,0,56,0,43,444,0,1,0,23,3,51,1,24,153,1,179,1,2,118,0,1,0,0,2,0,0,398,0,121,126,0,1,2,15,0,85,0,46,0,1
"LOC105922347",164,21,427,70,99,258,15,37,0,1,40,0,0,42,76,3,0,0,197,346,0,11,6,31,0,1,1,164,34,2,0,2,0,110,1,0,1,17,84,1,0,1,25,0,4
"LOC105922348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922351",0,78,57,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,18,18,0,178,0,0,0,0,156,0,1,31,0,0,0,0,0,0,0,0,1,0,0,0,0
"LOC105922353",0,0,0,56,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,35,0,0,0,1,0,0,0,0,1,0,25,0,1,0,0,0,0,0
"LOC105922357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922363",0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"LOC105922364",1,0,2,0,0,0,0,0,3,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"LOC105922367",79,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,1,0,5,1,0,0,0,0,212,0,0,0,46,1,0,0,1,0,0,47,0,0,0,5,0,0
"LOC105922370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922380",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922383",2,3,10,0,9,96,28,194,0,111,0,90,31,34,20,67,1,10,1,52,0,4,47,315,0,95,220,182,3,39,101,4,176,166,8,3,0,181,23,1,2,2,190,285,137
"LOC105922384",1,0,0,1,0,1,0,1,1,480,0,0,0,0,0,84,0,0,0,0,0,0,2,0,30,0,31,0,0,0,0,312,0,148,0,25,0,2,1,83,0,55,1,62,1
"LOC105922388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922390",0,0,0,0,0,0,0,0,0,184,0,16,45,0,0,0,0,1,0,1,0,0,1,10,0,0,0,1,0,0,1,0,0,0,0,37,0,0,0,0,0,1,0,0,0
"LOC105922394",1,0,356,9,1,3,0,0,26,93,15,2,157,450,110,3,3,6,68,232,20,0,17,1,50,726,0,159,205,0,0,0,316,12,0,27,49,0,0,21,3,8,19,16,12
"LOC105922395",0,0,0,0,12,0,0,0,128,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,22,0,0,0,58,1,0,0,0,0,0,1,1,0,0,0,0,0
"LOC105922399",3755,3062,3652,3466,3827,3052,2889,4790,1356,5855,2185,1991,4429,8116,1604,7356,3410,2913,3249,4123,4608,3833,3674,1579,3260,4010,4929,5547,4449,3147,2907,3503,3467,4661,5638,4217,2759,7153,3515,2800,6607,2408,3239,6575,3005
"LOC105922400",13,48,1,0,0,2,0,2,58,1,1,0,120,0,68,0,128,0,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,13,0,1,0,0,35,0,1,0,0,1
"LOC105922401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"LOC105922407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922417",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"LOC105922418",37,0,18,2,86,86,4,35,13,78,1,1,2,117,37,1,58,60,0,1,72,23,0,64,10,1,104,0,46,4,0,47,24,86,9,2,2,104,1,1,3,48,5,3,90
"LOC105922422",311,0,348,158,1,0,126,6,195,260,30,10,0,3,0,0,0,26,78,26,181,104,52,3,34,35,24,2,1,1,2,105,0,81,280,155,29,2,1,0,1,0,265,286,92
"LOC105922423",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0
"LOC105922425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922430",30,331,9,2,179,1003,1,460,161,62,1,180,111,170,25,21,233,9,25,402,13,27,185,2,24,1,6,36,142,250,114,189,258,766,1,197,0,44,156,402,40,325,173,2,0
"LOC105922431",0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922432",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LOC105922433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0
"LOC105922437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922438",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922440",23,31,29,0,0,8,69,19,0,354,1,0,88,1,1,1,43,0,60,0,0,0,0,0,1,1,0,3,0,0,0,14,29,89,1,0,0,0,75,0,267,1,112,0,0
"LOC105922443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922445",1,41,107,31,1,122,56,1,2,12,1,133,0,2,223,16,0,2,45,0,0,0,46,1,0,233,26,174,93,2,2,11,84,124,0,250,361,184,13,2,341,211,79,107,0
"LOC105922448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922450",0,3,31,114,0,0,0,14,6,63,2,2,58,1,41,2,0,0,5,5,2,0,1,0,3,0,0,33,52,1,0,138,71,0,197,201,0,0,1,1,75,117,222,1,0
"LOC105922452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922454",1,0,0,0,0,1,11,1,18,0,2,41,0,0,1,56,0,1,0,0,114,0,1,1,1,0,0,1,1,1,33,0,36,0,0,0,1,0,4,0,1,2,16,0,151
"LOC105922457",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0
"LOC105922458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"LOC105922463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0
"LOC105922464",0,0,0,33,0,4,30,2,8,0,0,0,0,0,0,0,0,1,262,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,149,0,0,0,0,0,11,12,45,39,0
"LOC105922465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922471",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
"LOC105922472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922478",0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,5,0,6,0,2,1,0,0,2,0,0,0,0,39,55,180,0,0,0,71,0,0,0,78,0,0,0
"LOC105922479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922481",0,0,0,0,0,0,0,1,0,0,0,0,0,0,95,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,37,0,1,3,0,0
"LOC105922483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,1,0,0,5,0,0,0,0,0,0,11,11,0
"LOC105922484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922486",0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922487",0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,36,0,0,0,0,0,0,0,0,14,0,0,11,0,0,0,0,1,0,0,0,1,27
"LOC105922489",0,0,0,0,0,0,0,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,171,0,0,0,0,0,1
"LOC105922493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922498",972,501,1861,677,465,712,1476,898,619,1493,624,490,659,987,420,627,959,1216,1065,390,1418,835,507,779,1033,1205,460,1103,1451,1427,368,1261,1046,847,1671,1833,615,1115,1258,1470,864,744,482,684,897
"LOC105922500",0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"LOC105922501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,67
"LOC105922504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922507",74,23,296,392,585,48,93,83,112,22,159,7,61,71,119,376,811,2,2,465,372,485,85,99,119,12,22,265,527,2,3,481,445,246,953,279,80,888,79,6,363,281,220,245,194
"LOC105922509",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"LOC105922514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922517",0,43,202,81,2,0,0,0,0,0,0,0,148,44,17,3,1,0,0,0,5,37,2,0,0,3,12,52,222,47,0,165,0,0,2,71,1,78,0,17,0,1,0,0,0
"LOC105922518",331,31,239,5,0,3,2,118,3,116,20,23,61,20,1,96,18,1,296,1,15,1,3,1,0,1,0,1,1,118,1,94,41,17,3,70,2,6,2,4,216,12,6,4,63
"LOC105922519",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
"LOC105922522",0,0,0,0,0,0,0,246,17,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,3,0,0,0
"LOC105922526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922527",364,131,606,408,23,211,301,1073,230,1046,425,27,544,185,157,287,625,424,401,100,520,590,206,62,10,61,278,202,631,51,436,695,566,276,405,965,109,492,313,107,570,530,300,531,583
"LOC105922535",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"LOC105922542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC105922547",83,7,397,1,83,218,59,0,0,1,2,0,0,13,0,0,43,1,1,2,148,0,112,23,2,1,0,1,1,0,0,120,256,120,88,0,1,152,1,74,0,0,0,2,0
