"","G2.P2.G2P4R6.brain","H2.P2.G1P3P5.brain","B3.P2.O2P4P5.brain","C3.P2.O1R4G5.brain","E3.P2.G2R4P6.brain","G3.P2.G2G4R5.brain","H3.P2.O3O4R6.brain","C4.P2.R1G2R5.brain","D4.P2.O1P2R4.brain","E4.P2.R2R5G6.brain","H4.P2.G2G3O4.brain","A5.P2.R3O5G6.brain","B5.P2.G2P3O6.brain","C5.P2.G3O4G6.brain","G5.P2.R1G3O5.brain","H5.P2.O1R2G6.brain","A6.P2.G1G2G6.brain","D6.P2.G3P4O5.brain","F6.P2.O2O3G6.brain","G6.P2.R1R4R6.brain","C7.P2.G2O3O4.brain","E7.P2.O1G2P3.brain","F7.P2.P3O5R6.brain","G7.P2.O1P5R6.brain","H7.P2.O2P3O6.brain","B8.P2.P3R4G6.brain","D8.P2.R3P5G6.brain","A9.P2.P1G4G5.brain","B9.P2.O2R5R6.brain","E9.P2.G4G5R6.brain","H9.P2.R1O2P4.brain","B10.P2.G1O5P6.brain","C10.P2.R2O3O5.brain","D10.P2.R3O5O6.brain","F10.P2.R2P5P6.brain","G10.P2.R1O2P6.brain","B11.P2.G1R2P5.brain","C11.P2.P2G3P6.brain","D11.P2.G1R4P6.brain","F11.P2.G1O3R6.brain","G11.P2.R1P2O5.brain","H11.P2.P3O5O6.brain","A12.P2.R3R5R6.brain","D12.P2.R3G5O6.brain","G12.P2.P3O4R6.brain"
"snupn",27,68,2,3,4,165,2,3,1,154,0,20,203,0,0,1,0,1,97,7,0,1,2,0,0,0,0,2,0,1,1,37,0,2,50,5,0,1,0,0,0,0,0,0,0
"snw1",1,118,126,45,3,71,1,1,227,12,2,205,115,0,4,753,6,2,1,1,4,2,129,2,0,66,2,199,115,2,24,3,3,308,3,0,0,1,38,51,481,75,50,10,16
"snx10a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"snx10b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"snx11",317,0,1,0,0,0,4,0,34,5,0,0,1,2,0,0,97,0,67,248,0,84,52,2,0,0,0,0,61,4,0,0,0,106,17,0,2,0,198,0,0,1,0,0,44
"snx12",30,0,2,45,2,56,94,2,48,158,19,92,52,617,3,5,141,57,65,7,49,1,15,18,79,177,2,5,1,99,15,36,177,187,50,131,224,16,2,264,172,37,3,15,76
"snx13",9,0,14,0,102,0,1,0,0,0,74,1,0,95,12,1,88,5,0,0,37,31,0,1,132,0,1,0,0,61,0,0,41,295,0,3,0,18,32,0,214,0,1,0,36
"snx15",1,147,0,0,190,2,141,0,0,24,0,0,0,0,0,0,0,0,0,0,1,11,0,44,0,0,0,0,0,0,0,1,0,2,0,54,0,0,0,0,0,1,0,0,0
"snx16",102,0,28,0,127,0,51,0,0,0,0,0,1,0,1,0,19,0,0,12,41,0,38,0,0,0,20,9,5,0,0,0,34,12,1,0,0,0,1,0,3,2,157,0,0
"snx17",102,0,1,222,42,547,36,170,28,231,12,113,2,293,2,106,189,1,0,122,4,21,64,152,37,2,153,265,275,139,36,23,2,0,327,0,1,88,0,3,27,44,149,5,134
"snx18a",2,22,1,0,1,1,0,305,19,48,0,0,1,0,1,1,0,25,0,0,147,1,37,23,0,1,0,0,37,0,1,0,218,1,11,110,1,1,0,1,0,0,0,1,291
"snx19a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"snx1a",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,163,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"snx2",1,56,217,2,1,277,140,227,12,282,11,139,5,1,89,154,5,24,61,1,168,10,1,4,320,219,3,86,202,4,4,12,8,412,156,7,72,199,2,2,63,173,234,95,22
"snx20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"snx22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"snx24",0,156,66,193,10,0,0,0,1,58,2,2,361,0,63,0,1,0,10,0,1,286,1,0,0,0,0,31,413,0,1,258,9,1,97,0,0,0,91,0,0,71,86,1,0
"snx25",0,54,2,106,6,1,112,217,3,249,2,127,4,0,22,96,1,6,110,0,153,12,97,19,0,0,1,174,6,0,18,25,0,17,95,0,5,0,0,0,1,49,5,37,140
"snx27a",323,1,60,131,109,174,19,38,70,302,88,87,96,8,1,13,1,458,296,0,62,3,0,296,90,159,128,147,2,0,0,39,54,25,181,3,0,0,6,122,232,73,118,8,0
"snx27b",196,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,11,0,52,0,0,0,0,1,122,0,0,0,5
"snx29",123,0,1,65,87,0,0,0,39,2,0,1,7,0,1,0,0,0,0,2,0,91,1,136,0,0,2,0,1,2,0,27,0,0,1,0,0,0,0,2,140,1,2,1,1
"snx3",146,0,1,4,1,1,2,146,42,2,0,46,297,241,28,2,507,94,83,157,182,77,98,91,2,160,179,7,17,3,117,152,191,3,82,264,7,152,4,6,188,17,75,4,37
"snx33",0,0,60,1,3,0,0,0,1,0,42,20,0,0,18,0,0,26,0,0,0,79,1,0,0,0,0,1,0,0,0,15,132,0,226,0,0,1,0,0,0,0,0,0,1
"snx4",0,31,0,2,0,0,1,23,40,3,77,0,42,121,3,0,169,72,0,0,14,0,107,0,0,230,9,0,394,33,2,57,203,0,0,16,40,6,9,0,0,9,0,1,10
"snx5",16,5,21,1,7,2,1,1,13,1,2,115,59,41,0,11,82,0,1,37,7,0,0,1,1,46,220,1,2,0,22,3,99,1,1,4,1,2,0,9,0,1,254,0,0
"snx6",80,217,76,19,372,0,45,459,28,0,7,3,696,35,0,44,16,2,262,2,54,471,0,14,89,23,133,9,143,0,3,344,346,27,27,290,248,177,26,197,178,212,8,164,197
"snx7",0,5,2,9,6,188,1,2,0,3,0,2,10,77,2,0,52,1,1,2,2,1,1,49,0,1,15,0,29,0,0,98,10,32,0,149,17,173,101,8,1,293,116,145,0
"snx8a",0,0,1,1,0,0,0,0,0,0,0,126,0,0,0,0,1,0,0,0,0,81,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,114,0,0,0,1,118,0
"snx9b",0,93,0,0,1,1,0,1,1,0,1,2,2,161,80,0,0,0,0,1,0,37,0,0,2,33,0,3,1,1,1,37,1,68,28,1,0,3,103,172,10,1,5,1,106
"soat1",0,1,24,0,0,0,40,10,0,12,110,75,0,0,1,225,0,0,0,0,0,0,43,0,1,0,1,19,0,0,0,134,45,0,166,10,0,22,0,0,70,7,0,8,74
"soat2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
"sobpa",135,7,26,7,59,0,189,31,2,20,28,1,247,44,1,41,6,0,76,1,36,1,38,1,2,23,14,145,3,0,201,139,292,28,2,50,72,90,6,79,67,105,26,0,124
"socs1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"socs2",0,0,22,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,34,0,0,1,0,282,111,1,0,290,0,0,43,0,0,0,0,0,0,0,0,0,64
"socs3a",2,1,3,1,1,61,0,0,16,159,1,1,2,1,125,6,36,1,12,113,81,0,0,18,80,3,0,0,1,0,0,124,184,2,4,2,75,8,2,39,4,3,0,5,2
